	Tneg1	T45	T60	T90	T180	T300	Galactose.minusLys	Galactose.plusLys
YDR231C	-1.13128281172908	-1.06625967733334	-1.28662954061808	-1.3199067700021199	-1.41441492358074			
YDR234W						1.065580461673595	1.755551940095395	1.3732800535236849
YDR256C								-2.013405675604265
YDR258C		1.317381432866005	1.47971037423026	1.0936820797212201				
YDR259C		1.13791599333736	1.1549610060809998		1.29495646758448			
YDR264C						-1.3769927152199948		
YDR266C							1.072367931752685	
YDR268W								1.1428880280148999
YDR270W						-2.88869467155879		
YDR274C						-1.0705969437732201		
YDR277C								1.057472849819985
YDR285W			1.112751798638235	1.072001808286485	1.040197162390665			
YDR286C		-1.0814240729836349						
YDR293C					1.1933904869274299			-1.011258811963435
YDR308C								1.072268414324405
YDR320C-A	-1.357553409036355	-1.8861515128882902	-1.69532635639107	-1.62325041965878	-1.72483118647534	-1.390293488863855		-1.12500555564433
YDR322C-A					-1.30724753381123			
YDR328C		-1.04980825507929	-1.1339963812329699	-1.114998714783355	-1.47024440725647			
YDR330W							-1.0709048249247202	-1.1042926396393449
YDR345C							1.37735020157289	
YDR353W							1.023017158327265	
YDR358W							-1.1722998871345	-1.048453030369555
YDR377W		-1.09312581712669	-1.078741211730095					
YDR378C					-1.223728046451585			
YDR380W								-2.3897992897398606
YDR382W							1.026864065783885	
YDR383C				1.12479963634243				
YDR385W	1.28939143915251	1.5402811936540999	1.60882292235844	1.53794071398537	1.5364995872131049	1.298993170739855		
YDR396W			-1.086713664918455		-1.7870012797653199	-1.40183116825443		
YDR398W							1.0907123962767602	
YDR400W						1.4723866833085402		
YDR418W							1.820394064280345	
YDR420W					1.14036300495436			-1.08284536864433
YDR424C		-1.211969678083835	-1.057909266656245		-1.091457408107195			
YDR447C							1.627986408983425	
YDR449C							1.42405231278968	
YDR453C						-1.18629838824699		
YDR461W	-1.13975172037527	-1.20268467827976	-1.3200562671600502	-1.223780829010205	-1.24863483077926	-1.646926240904735		
YDR465C							1.21424153415583	1.2404190694285049
YDR470C							-1.2806083652797948	-1.715756833889285
YDR471W							1.6629772875699698	
YDR497C	-1.203458455777775		-1.2685020457626952	-1.14074916138146				
YDR502C	-1.76902390939766		-1.24141165792199	-1.110087111674675				1.1036313116938552
YDR507C					1.0437023162639099			
YDR508C							2.048067435850545	1.62395363244333
YDR510C-A		-1.157339995268225	-1.2678338534356848		-1.3408320869492252			
YDR518W						1.38949975396696		
YDR524C-B							1.7195412343572398	1.33902741038495
YDR524W-C		1.02676228989702	1.03588957631897	1.4253385594774348	1.20287843564376		1.84565001806841	1.64383996671053
YDR525W-A						-1.574766056323015		
YDR529C		-1.12620455927597	-1.13887443626162					
YDR533C						-1.55076998150852		
YDR536W	-1.8624776530634102							
YDR540C				1.090672485711825		1.136110806359015		
YDR541C							1.10182901837879	1.222788385790645
YEL007W						1.1579034353622548		
YEL011W	-1.9492746758706048						-1.20147658066377	-1.1445195890135103
YEL017C-A	-1.1341387474295999	-1.1751461976387252	-1.29993001457562		-1.18513471865291	-2.29067548183084	1.3865558458705902	1.22636909838651
YEL017W								1.062110595408345
YEL020W-A								1.34219796686489
YEL026W							3.323797818736675	1.93369909961593
YEL029C								1.1149228650674
YEL030W							-1.263453275173005	-2.2247299427096596
YEL044W						-1.1220395137565151		
YEL046C							1.198642655414715	1.1810122785404
YEL053C								1.07873505877967
YEL054C							1.060551638028645	
YEL060C		1.3351886426166648	1.2792595401949851	1.07128199102852	1.1799506171848848			
YEL065W						-2.70675829355987		
YEL068C	1.184710369906705							
YEL071W	1.322755596376875						1.22168972304507	
YEL073C	-1.330785393091615		-1.1429108563492552	-1.4843427512140352				
YEL077C				1.055565096690405	1.310490236045145			
YER001W								1.32424744704629
YER003C	-1.2590281284592848					1.7930033836120098		
YER004W								-1.3049644134776601
YER008C					1.106145706758575			
YER015W								-1.228310962393595
YER019C-A					-1.2158823378376402			
YER020W							-1.27854687881796	-1.60841814135771
YER023W		-1.03668298822092						
YER024W	2.054147566369335							-1.02714804509336
YER026C	-1.0820817685582549	-1.2456643221644201	-1.3889216785045049	-1.2516766966760549	-1.03214625259342			
YER033C					1.223618560665075			
YER043C							2.152170617428315	1.747590868808645
YER045C		1.33392296703281	1.2251814388151998	1.0764099264969351	1.3125834248691302			
YER049W							1.90262346609929	1.4671148816940751
YER052C						-1.5448422056745952	1.57647691479377	1.252816628919555
YER053C								1.331143662927885
YER056C							2.00867741874306	2.3212419597470753
YER056C-A							1.592710768580655	
YER060W			1.16515303956096					
YER060W-A			1.075491317412835					
YER062C						-1.54351583394262	2.79513355457044	2.0889681033353753
YER069W						-2.236402056702585		
YER073W						-2.551387850237445	1.570873459432225	
YER074W							1.658144223125625	
YER074W-A					-1.0863488920143798			
YER081W		1.2733943143840651	1.09506464216074					
YER102W							1.659442270602065	
YER111C					1.20265452340598			
YER117W					-1.143470175480155		1.437706860447705	
YER124C						-2.017673233835005	1.630303621509135	1.9548663524304
YER126C							1.2206777058994551	
YER127W							1.80377936878152	1.3733477884356349
YER130C							2.187717562802035	2.2444630640383902
YER131W							1.7670352787673549	
YER132C	1.081905105506455		1.106169753576905	1.046319991469395	1.18552008917774			
YER134C				-1.314783717551665				
YER145C						-2.55171265415335		
