	Tneg1	T45	T60	T90	T180	T300
YLR087C					1.15838081297929	
YLR134W					1.23622607553109	
YLR142W	-1.2060231434774					
YLR146W-A	-1.36204151525336					
YLR177W	-1.4476007533934898					
YLR179C	-1.334550897211515					
YLR180W	-1.8632415531883502					
YLR198C		-1.14086990982947	-1.1958539368500198			-1.112761175310255
YLR204W	-1.152800256458725					
YLR230W	-1.4017002208386597					
YLR262C-A	-1.0833675336836501				-1.1065160159998948	
YLR264W					-1.175549022363065	
YLR267W	1.5327965037002902				1.2961477390402352	
YLR297W						-1.056299735708935
YLR304C					1.19174642116189	
YLR309C					1.2443780548081702	
YLR320W					1.06159254061311	
YLR342W-A	1.341853424418635	1.265867997127915	1.2926843596085051	1.57350071860013	1.503715020968315	
YLR343W					1.3071845050772	
YLR390W	-1.1906636091243201					-1.0850710437041249
YLR422W					1.2093759238133148	
YLR425W					1.0678726450254101	
YLR437C						-1.27604147182983
YLR438C-A					-1.09779315190559	
YLR452C						1.3456975152612052
YLR454W	1.115176940096255				1.2545198828183701	
YML009C	-1.4489475610205247					
YML027W						1.09495323198894
YML059C					1.132358287626645	
YML100W					1.39749404304001	
YML128C	1.4952386886698852					
YML129C	-1.68100668450788		-1.103162358931	-1.17811111023238	-1.28701997407959	
YML131W	1.631838955923685					
YMR018W	1.3532916843613352					
YMR053C					1.06166397806457	
YMR059W					-1.250171245888915	
YMR074C					-1.0759819358124498	
YMR076C					1.0647513376476252	
YMR169C	2.023245871836345					
YMR194C-B						-1.10018549487482
YMR245W			-1.162297813692775		-1.10764993600996	
YMR257C					1.28799435407526	
YMR263W			-1.11097130878546		-1.1471767685950898	
YMR280C					1.36062687746202	
YMR286W	-1.1090863060922151					
YMR303C	3.33781780314645					
YMR304W					1.21203090287082	
YMR319C						-1.167673497636335
YNL014W	1.562081495372345					
YNL024C-A					-1.13101041163681	
YNL090W	-1.352741115572655					
YNL134C	1.4024869443671149					
YNL138W-A	-1.254065505752545		-1.17642724749975		-1.140572173669085	
YNL183C					1.1213816923505902	
YNL190W	1.267533756597345				1.3379212240269949	
YNL262W					1.125223011681265	
YNL282W					-1.058043487507165	
YNL297C					1.2275287080884851	
YNL302C					-1.06029900366523	
YNL303W	1.2625983052795848		1.3353565759580799	1.6059387775404401	1.2711382020454902	
YNL311C	1.1013228687853598					
YNR024W					-1.098455773740595	
YNR034W-A	1.191716859689135					
YNR036C	-1.1342816717770998					
YNR037C	-1.1082325278936551					
YNR044W						1.4149106775220899
YNR057C					-1.043008327497075	
YNR065C					1.2352535044150952	
YNR067C	1.1300590867888602					
YNR068C	1.46337488720158					
YOL016C					-1.0674496185064	
YOL058W	1.5121763542006					
YOL077W-A	-1.3263476683554452					
YOL081W	1.255577890746445				1.4426737128677298	
YOL082W					1.037821036742185	
YOL086W-A					-1.03561096193474	
YOL109W					-1.42268809478562	
YOL119C	1.0270202267302					
YOL140W	1.131952120891575					
YOL154W		1.566482599156165	1.7205261770889202			
YOL158C						-1.843872515991905
YOR009W						1.2769135974015402
YOR011W					1.1384616272323749	
YOR015W					1.282122641658465	
YOR045W	-1.6327949321874649		-1.137167024735915		-1.244215796070805	
YOR120W						1.140421718437345
YOR121C	1.165031225191255					
YOR133W		1.134335968880215	1.233583017222395		1.4288874754420449	
YOR167C					-1.316049997462005	
YOR180C	1.2467669530417798					
