	Tneg1	T45	T60	T90	T180	T300
YHR210C	1.5770950296669					
YHR211W	1.20267701836068					
YIL015W	-3.494805731015365	-3.3099101482634903	-3.79972340260331	-3.37731873250656	-3.531385785341725	-4.591669314004156
YIL020C-A			-1.120396744002565			
YIL117C			1.102136356721245	1.2695669960164548		
YIL123W				-1.426543509583125		
YIR018W		1.14167922805103				
YJL079C				1.269240509062575		
YJL116C		1.601864235829045		2.14823430902453	1.3332475618642499	
YJL133C-A					-1.4863164889852052	
YJL138C		1.056441235576405			1.05233951699358	1.192248844665715
YJL166W		-1.201745456101585				
YJL171C						-1.924266314109575
YJL188C		-1.64853806489891	-1.466040953548465		-1.198847165092985	-1.813146588877635
YJR004C	1.8439961514718748	4.16156011933706	4.465799106624795	5.087382698183175	4.310023006194155	2.395797216469385
YJR048W		-1.2358157185352998				
YJR109C		1.186369706417415				
YJR152W		1.47777604337856	1.0536860867903002	1.367084442804055		
YJR154W				-1.43545392104639		
YKL103C			1.40142698499635			
YKL113C						1.1193746732526049
YKL161C				1.61949008129178		
YKL163W		1.294306812089905	1.6473977264247401	2.400412562796495		
YKL178C	3.21437595528213	4.52890083203867	4.8200573311225146	4.99289543916485	4.291819077084405	2.78848243483274
YKL209C	-2.699867271915905	-4.126781161234545	-4.0431454056005505	-3.9024296602704203	-3.5845403200786548	-3.670082528938755
YKL220C		2.2558363078182952	2.184776172767395	2.268522479598265		
YKR039W			1.235540797698345	1.50806501747063		
YKR052C		1.2293883790446003				
YKR075C	2.5276004720870446	-1.358911054765405	-1.6485512323938198			
YKR083C						1.115798293539885
YKR091W		1.3940611451586948	1.664348538647885	1.791524300105305		
YKR098C	1.088172142894825					
YLL002W		-1.2316856598623698				
YLL028W						-1.184350346869625
YLL039C			1.260684019611725	1.184996206322205		
YLR004C				1.1888580597419		
YLR040C	2.1403461799451753	3.401797279639555	3.38912775900822	3.64711211616041	3.572556160066635	2.6792131811810402
YLR042C			1.31277517737654	1.788238154972965	1.554100064387465	
YLR056W		1.1251072395160402				
YLR121C	1.106388144448385					
YLR132C						1.2613077187653547
YLR142W			1.3961910841011549	2.30944417026128		
YLR183C				-1.28108546026173		
YLR194C	1.494572440792045	1.31240485821098		1.3036294177282248		
YLR198C				-1.54204509060622		-1.3743774981994399
YLR205C		1.9641571412369148	1.55865539919493			
YLR222C-A						-1.32760500272155
YLR287C-A						1.1772565674907298
