	Tneg1	T45	T60	T90	T180	T300	Galactose.minusLys	Galactose.plusLys
YAL063C			0.55171884693207	0.7381479912460375	0.7488134839795231			
YAR002C-A					-0.7285301178308995			
YAR007C						1.063383901168686	-0.502657538287391	
YAR015W			-0.8319927209898591	-0.7013346675767664	-1.11106286660465			
YAR019C		0.43576148124639047			0.6247755393584196			
YAR027W						-0.6836613869328629		0.4572019075464715
YAR028W				-1.05154578845834		-1.0116885075195214	-0.9757731564549484	0.7234199480835715
YAR035W		0.9217607382357884	0.8800209511946724	0.840300886841047	1.26134614442672			
YAR042W					0.5632818499707231			
YAR050W		0.6253846122328119	0.846268514454941		1.198087161615685			
YBL001C	-0.9248178389944395	-0.987576608518153		-0.59527626270689	-0.879576731784115		0.4969567789627639	-1.277788763180185
YBL002W						0.8528330817458305		
YBL003C		-1.106865869789684	-0.8600855752999517		-0.9587597406886825		0.6477342227069419	
YBL004W					0.5007971480458295	0.8582956932565765	0.6180369201463685	0.411989532453911
YBL005W	0.635901701534666	0.653033696998552	0.7678913938392196	0.6482610086545335	0.691908561328741			
YBL006C		-0.9197752758757065	-1.23762809557125	-0.7037429517496645	-1.719631455319485	-1.355065481374745		
YBL007C					0.5125398711823335			
YBL009W						0.964672611547491		1.504624506321265
YBL010C			-0.6023927508788065		-0.5970283008206385			0.9369126528197
YBL011W							-0.46882851882663246	
YBL014C					0.440060247884847	0.4538908088924165		0.6259358788938145
YBL015W			0.913360066422815		0.927377107135111	1.0126734334616465		
YBL016W			-0.6319640338524595	-0.6217604345458925	-0.49918039938101	-0.620564742675854		
YBL017C			0.6971953280569716		0.9399523772018515			
YBL018C			-0.4849704152414165		-0.7404447160143736			
YBL020W					0.4217643942207855	0.5838405970893239		
YBL021C			-0.574151674345845		-0.932433085080212			
YBL023C								1.108040503044135
YBL024W						0.6079551991303409		
YBL025W						-0.499153518850811		
YBL026W					-0.5519762217575215			
YBL027W							1.04675337633354	-0.5516834957346342
YBL028C			-0.6758449464766039		-1.052138897898639			
YBL029C-A		-0.539393135547295	-0.544433375449895		-0.637957940895699	-0.9898917447877946	-0.357522216060578	-0.7945849978901656
YBL029W								-1.040235360873365
YBL033C		-0.540194174575069	-0.644391563758753		-0.5347991291880605	-1.088274695971785		-0.395570374202267
YBL034C	1.0328319535157704	0.57979745483819	0.7875888888541971	0.730550981662605	1.066396438347295	0.9136831213584615		
YBL035C	0.7723131834375964				0.459249631933428	0.937457680488692		
YBL037W			0.39069615119190504		0.5247705698762215	0.5587610307398825	-0.4667445135109275	
YBL038W			-0.450622391388079		-0.6970523936525035		-0.4752261152080175	
YBL040C					-0.7346370813966405		-0.6511591931915854	
YBL041W		-0.495580206676496	-0.638284007859539	-0.592161288997315	-0.682504979001769			-0.449591247094864
YBL042C		0.8519143628415615						
YBL043W							-0.532268357715074	1.54801275348011
YBL045C					0.5764725528107699	1.24148271734824		
YBL046W		-0.43713612229886956	-0.6310839629243105	-0.382942169764806	-0.655068068761566			0.651311294477655
YBL047C			0.7371118373637919		0.8578559305305			
YBL048W		0.6809777463546709	1.25783342397076		1.36670829093269			-0.508481585995749
YBL049W		0.65757150048878	0.836941138639765		1.12680239049243			-0.657278926310864
YBL050W					-0.357525572270479			
YBL051C					0.788392408081906	0.687718802505991		
YBL052C					0.3430887791013425			
YBL055C							-0.7956182203180561	0.7136718514637851
YBL057C			-0.6414222181872324		-1.0400137719919251			0.5186687941920075
