	galpluslys	galminuslys	highgluc	lowgluc
YDR524C-B	1.73733812726312	1.31807072011158		-1.12955971517245
YDR525W-A			-1.7711177195082097	
YDR529C			-1.1146198949941626	
YDR533C			-1.69296348581999	
YEL007W	1.03564868290031		1.21822351974987	
YEL011W	-1.20276959280102	-1.22183273706383		-2.38186815666994
YEL017C-A	1.41719393297296	1.3618591598368301	-1.537684735439484	-1.23982397915714
YEL017W		1.05980340151134		
YEL020W-A		1.17729966848655		
YEL024W			-1.04937115230787	
YEL026W	3.40860613273752	1.9456528937078703		
YEL029C	1.0759558578688702	1.4690085520079499		
YEL030W	-1.28973928219911	-2.30536848227361		
YEL034W		-1.14571026600606	1.22370491177197	
YEL040W	1.79778871106143			
YEL044W			-1.15021409133451	
YEL046C	1.2289545457251798	1.12418664614559		
YEL053C		1.09510693126905		
YEL060C			1.303469709100065	
YEL065W			-3.7441232362087	
YEL067C			-1.2544745310353	
YEL068C				1.22441168679776
YEL071W	1.25244368527475		1.049702829516405	1.56086160602748
YEL073C			-1.3857031477252302	-1.43024137310085
YEL077C			1.2307205623860926	
YER001W		1.34060310012241		
YER003C			2.02025689693397	-1.32771643498669
YER004W		-1.27165526320038		
YER010C		-1.03839157575879		
YER012W			1.04412703378128	
YER015W		-1.3306818905350402		
YER019C-A			-1.1307352979967902	
YER020W	-1.27829990367973	-1.64217742728329		
YER023W			-1.05504777104141	
YER024W		-1.2489153696851598		2.97557249010234
YER026C			-1.35605483250405	-1.1356384266861799
YER033C			1.1154818584387398	
YER036C	1.02010439598029			
YER037W	1.0316781610674999		-1.08044413944698	
YER042W				-1.0200796850157399
YER043C	2.22675239994867	1.7539966247848502		
YER045C			1.34541132987513	
YER049W	2.01164831371326	1.5568770436033503		
YER052C	1.5907164814017298	1.208239428764	-1.66582530917364	
YER053C		1.3137680660813502		
YER055C	1.5748937857966998	1.4059933095006103		
YER056C	2.05812196672064	2.3598757608240297		
YER056C-A	1.63745363340847			
YER062C	3.2547595044743596	2.19783081201554	-1.6662027155280332	
YER069W			-2.6272831638714798	
YER073W	1.57784894804148		-2.94197225501797	
YER074W	1.70181988066078			
YER074W-A			-1.11938969296013	
YER079W			-1.23008894928107	
YER081W			1.18860128313772	
YER086W	1.15349175282345			
YER098W		1.03547645995675		
YER102W	1.76736908378587			
YER111C			1.3185593416260302	
YER117W	1.46957677901421		-1.18227227488123	
YER119C			-1.01026102383106	
YER124C	1.9214995149098502	2.16785923650019	-2.21235585195783	
YER125W		-1.01194197718829		
YER126C	1.3680541468768799			
YER127W	1.8471519207277	1.5562085303140403		
YER130C	2.23083918846296	2.28287470886792		
YER131W	1.88052308736271			
YER132C			1.117782592341885	1.14995834349767
YER145C	1.07406556060277	1.1073034397539598	-1.8793639571441048	
YER149C		1.16029444719617		
YER150W			-1.910349538878	-2.4157767935669803
YER155C			1.02938024433448	1.0312932877832701
YER156C			1.31527314202049	-1.5236619175309598
YER172C			1.00682615644364	
YER175C			-1.53999153027136	
YER176W				1.3838629673929599
YER184C			1.1922473661747175	
YER185W			1.1888759620643374	
YFL001W		1.50177952004316		
YFL003C			1.08741342272668	
YFL007W	-1.4431929680733002	-1.95613305980335		
YFL008W			1.00946894971555	
YFL017C			-1.103193755857565	
YFL017W-A			-1.06794372634252	
YFL021W			1.0004192948450699	
YFL022C	1.0471446047569			
YFL028C			-1.6554706851604	
YFL030W			-1.1734307245811202	
YFL031W	1.2031140083922	1.1492228777049198		
YFL033C		-1.15862498150779		
YFL034C-A	1.7245556635824901			
YFL041W			-1.55270896705495	
YFL054C	1.18987106246237			
YFL055W				1.2386325267071001
YFR014C		-1.335285658934		
YFR016C			1.2404754936525602	
YFR022W		1.45652939642705		
YFR024C-A			-1.08512711589433	
YFR026C			2.17184468195976	
YFR031C-A	1.11625922550039			
YFR032C-A	1.41711970326528		-1.2514084533380674	
YFR034C			-1.09595471551998	
YFR034W-A		1.19794592769483		
YFR053C			-1.3562803399599233	-1.79271506261659
YGL001C	1.12247589486282	1.64953165056629		
YGL005C	-1.0335861424711401			
YGL006W			1.16207684828669	
YGL008C	2.63141953189752	2.56445309334159		
YGL009C	1.6185305988434397		1.17391274781753	
YGL012W	1.1133702119496	1.53323162291831		
YGL013C			1.02721224185699	
YGL028C	1.35312168602129	1.21455438844887	-1.7324932393871102	
YGL029W	1.16742968243335	1.34210053065718		
YGL030W	1.39512059001006			
YGL031C	1.0197022751945102			
YGL032C		-1.15403272497082	-1.3419691681524164	-1.5269006336961102
YGL035C	1.5933513695695098			-1.09666670495165
YGL036W			1.16918399612238	
YGL037C			-1.22267571984477	-1.5811982183255202
YGL038C	-1.75922652980332	-1.00656150483125		
YGL039W		1.94481477947072	1.2806849478672149	1.30983671198235
YGL047W	-1.1645351812256999			
YGL058W	1.14773490337994			
YGL059W	-1.5670547946167201	-1.3289776327411102	-2.71437351318685	
YGL064C		1.2136894404886698		
YGL068W			-1.2205161842880001	
YGL070C		1.0219675370759	-1.00558661063931	
YGL072C			-1.1522065008440276	
YGL076C	1.19486785710366			
YGL078C	1.0842351406360602			
YGL088W			-1.2905146828254699	
YGL097W		1.00594578563507		
YGL101W		1.26696163375578		
YGL103W	1.4801242211697798			
YGL117W			-3.43825198430311	
YGL120C	1.2978488932143601			
YGL123W	1.05994079523974			
YGL131C			1.05405911265425	
YGL154C			-1.6342853054781599	
YGL156W	-1.7485256324398	-2.01558703919036		
YGL162W	1.13768789105319	1.8061227559820903		
YGL178W			1.3099363549947567	1.36767230655199
YGL179C	1.70524465612764	2.12208054675833		
YGL180W		-1.1947285902577198	1.5181242770921128	
YGL184C			1.3929293199971202	
YGL186C			-1.6161916162370602	
YGL187C			-1.329072792064855	
YGL189C	1.4300132412687099			
YGL190C	-1.13879229342118	-1.16222520623764		
YGL191W			-1.1896254739236225	
YGL197W		-1.06573945447748	1.0661544419564202	
YGL209W		1.7190929081115		
YGL215W			1.1772000010948602	1.32825159801155
YGL225W	1.26976792968552			
YGL226W			-1.1780430755883702	
YGL246C		1.17923756938207		
YGL253W	3.4350800091120295	1.9694943743127298		
YGL255W	1.0631953072453002		1.9321784652494751	2.97608895142958
YGL256W			1.7171027018477798	
YGR008C	-1.0222203634895402		-1.56878124393552	-1.7741420692717098
YGR021W			-1.01687624488619	
YGR026W		-1.49691659371691	1.1510036654891498	
YGR032W			1.4193344171374225	
YGR034W	1.5648350091550702			
YGR040W			1.56094188629392	
YGR043C	-2.05557843681661	-1.5912618875888203	-1.43447136687206	-1.79308409493156
YGR044C	-1.51292802787602	-1.2272762118636298		
YGR046W	-1.12477682354249	-1.0717863600067399		
YGR054W	1.17827701394203			
YGR055W		1.1293264480382		
YGR063C			-1.1551364311691599	
YGR065C			-1.5404122050744298	
YGR070W	-1.14048060871901	-1.21313132694477		
YGR072W		-1.33654018172895		
YGR073C			-1.3118655440745801	
YGR074W			-1.10931239163992	
YGR079W	1.3161956388129	1.13599934156567	-1.35078696458363	
YGR081C		1.03938917209183		
YGR085C	1.83820050369096			
YGR086C		-1.10978082636152		-1.2396732461578002
YGR090W	1.1952480035173798			
YGR097W			1.51169295445534	
YGR108W		-1.48533543538578	-1.2124477142349175	-1.04127576930289
YGR110W			-1.77200285002347	
YGR118W	1.38228263019835			
YGR123C	2.5637157822524	1.7414130965089398		
YGR124W	1.3876808230481201	1.48101170641535		
YGR130C	-1.4423770954313897	-1.46079537488509		
YGR136W		1.01407054057274		
YGR137W		1.0712819117624102		
YGR138C	1.97701763462055	2.04618251634612		1.0821321614196802
YGR140W		1.05354737783973		
YGR141W	-1.03319750788612			
YGR142W	2.35347901389942	2.44247858219117	2.0967370632332236	
YGR143W	-1.06424926539863	-1.30140348222583		
YGR146C			2.231789655012632	1.75763014866705
YGR149W			1.11745880375578	
YGR153W		1.53564123057315	1.5249648642060398	
YGR154C	-1.06065886486492	-1.07109929071245		
YGR159C	3.32832564965227	2.12240830622038		
YGR161C			1.356502370160605	
YGR166W	1.08870715976029	1.04183989431645		
YGR174C	-1.06322180472421	-1.29591462854983	-1.176339167751585	-1.31462973743338
YGR180C		-1.21195750856225	1.01065623707625	
YGR183C			-1.190796100346665	
YGR185C	1.36095194717118			
YGR188C		1.09009768502262		
YGR191W		1.01772527269831		
YGR192C		-1.18243916602247		
YGR194C			-1.00667356785411	
YGR197C	1.04907318329829			
YGR198W	1.46887780241081	1.60344742529843		
YGR201C	-2.1195130851851602	-2.06423105657114	-1.13087560597532	
YGR203W			-1.0812276718771199	
YGR204W	1.46552686500833			
YGR208W	1.3901478512862302	1.7038458189316399		
YGR211W	1.8771835746398002	1.57022971701163		
YGR214W	1.13948241881522			
YGR233C			1.232079309914005	1.15447639594608
YGR234W	1.2843519314237	1.3005723726087	1.7735873798946797	
YGR235C			-1.1023138930474399	
YGR239C	1.93738213552241	2.43419252575518	-1.60887687877453	
YGR243W			-1.02613161292585	
YGR250C		1.62915167966253		
YGR254W		-1.63104640973223		-2.69115915809201
YGR255C			1.01476178508382	-1.08074080405148
YGR257C			-1.02532129202969	
YGR260W			1.2325591900523534	
YGR264C	1.33682723328924	1.13412547873571		
YGR266W	-1.8480675872371701	-1.03214011584438		
YGR271W			1.07740488074238	
YGR280C		-1.1076938119550601		
YGR285C	1.39257906985604			
YGR286C			-1.01811617447927	-1.8730664818662301
YGR287C	1.63131313938644	2.24521339603576	1.2194569657581549	
YGR289C			1.41957142872675	
YHL006C			-1.032303695082545	
YHL010C	-1.32914292020749	-1.4499539025823798		
YHL015W	1.33207056282368			
YHL021C			1.15706599560508	
YHL026C		1.21048120904795	-1.44083804223302	
YHL030W			1.1582489766174033	
YHL033C	2.28430706197349			
YHL035C			-0.04025198227016006	1.52628736897448
YHL036W			1.270393196701525	-2.00832029111476
YHL040C			-3.45450280965797	
YHL047C		1.11299241115055	-1.9831725651691396	
YHL048W			1.187621044187995	
YHR001W-A			-1.4577597480106534	
YHR004C	-1.0549490416276899			
YHR008C	-1.00266519252798	-1.3166665406093898		
YHR010W	1.5032665275351			
YHR015W	1.32199466686203	1.03083694235498	1.5338748537174967	
YHR018C			-1.5294594176260552	
YHR020W	1.52779879206401			
YHR021C	1.5871198325210902		-1.1525958920317725	
YHR023W			1.0779548940409	1.12623745442365
YHR029C			-2.74701481630956	
YHR030C			1.283771334058	
YHR032W-A			-1.5784490061117	
YHR033W				-1.8156328881858799
YHR043C		1.47938141979728		
