	Tneg1	T45	T60	T90	T180	T300
YDR216W		2.6237967051589552	2.7042260395851203	2.56983814212669	2.325013446486245	1.8138991062841798
YDR270W						-2.5145692542423648
YDR277C		4.560167306205869	4.50649966431658	3.67367660472521	3.0048461881368453	4.7904321960902845
YDR320C-A	-1.1823158767854598	-1.434405170796035	-1.38574172691192	-1.1432037569758249	-1.20223692856889	
YDR345C		1.442705373790335	1.308797083093085			1.238011854324075
YDR461C-A			-1.290113070455755		-1.423399563905545	-1.34176503280151
YDR461W					-1.430379505131675	-2.0693388888284554
YDR476C						-1.101639857299865
YDR510C-A	-1.6608114202313	-1.461007430415165	-2.085784823042625	-1.70633671968622	-1.526603478315455	-1.34773307834869
YDR516C			1.11446550769436	2.2643565690217855	1.186272268273075	
YDR524W-C		1.17601566566814	1.216088583026865	1.3603359099226648	1.3557056928695448	
YEL017C-A	-1.7820762624313051	-1.8284784693105403	-1.827432544593215	-1.481136320897005	-1.6508292134950948	-1.50383039690225
YEL033W	-2.00205526673496	-2.38257965077619	-2.4108232914090504	-2.55435313128769	-2.48407610832658	-2.6455172948639545
YEL066W						-1.1336099005910252
YER015W		1.443476190086225				
YER028C				-1.10708952867064	-1.120769853792575	
YER066W		1.1112897736565				
YER079W		-1.1217464455896398				
YER098W		1.86403287874794	1.8779781963902649	1.9002639623670752	1.156626451681685	1.55639823857612
YER145C						-1.78579309612798
YER146W		-1.55365241906199	-1.6707751466586	-1.5576350831803452	-1.63471800343785	-1.5806642382444
YER147C-A		-1.3017073518152151	-1.552461411222055		-1.47962038957149	
YER150W				1.6318566904907401		1.4687281232969203
YER182W						1.14477206435742
YFL010W-A	-1.2826040229647249	-1.0630604094117402		-1.07984162078713	-1.242046598619335	-1.276072815631205
YFL026W						-1.117390185032445
YFL041W						-1.402926459020105
YFL054C		2.0987733308757996	2.38836537988381	2.59038608606138	1.5264500210793701	2.20345550125738
YFR014C				1.0814003930037501		
YFR015C				2.353267791221675	1.96526348808601	1.600748830426605
YFR017C						2.1915326128133
YFR032C-A	-1.54370082991231	-1.817949389574435	-2.00348011660537	-1.7173202324408001	-1.7760522320145702	-1.30561769169744
YFR035C		-1.28244497869837	-1.204646722016475		-1.1143677745688	-1.2721184755176649
YFR053C		4.216266905121291	4.461817116223395	5.26550724414795	5.607824920498875	4.238766666466305
YGL030W			-1.1036826876291799			
YGL080W						1.3356873517845953
YGL126W					-1.222476931757445	
YGL157W					-1.18988919827145	
YGL162W				1.106597869449955		1.62955027991767
YGL166W			-1.537310150732155		-1.673705628378415	
YGL179C						1.29677366312552
YGL198W	-1.42702792053991					-1.064609687492775
YGL253W		1.3068152546212248	1.19204415639137			
YGR011W			1.15844062076813			
YGR023W				1.255086965782345		
YGR079W						-1.5237642789445098
YGR097W			1.31046845282897	1.453259950717245	1.2944943056146052	
YGR121C					-1.2224471695320247	
YGR142W						1.161454449417395
YGR146C		1.411870655508665	1.27830562662909	1.1263286395794		
YGR161C		1.172603358742735		1.35543310228517		1.78918729077497
YGR161W-C				1.2630996448410698		1.8792859255129801
YGR174C						1.1089878515928402
YGR203W						-1.1756780021493651
YGR205W		1.27460918240505		1.162236444182815		1.481942940028
YGR243W			1.2835198217377752	1.5338549555492649	2.2288118755406447	3.783638126384715
YGR286C						1.22693422198782
YGR289C		1.89928411678173	1.62401287792777	1.88444049835465	1.510614738688865	3.202720930519805
YHL016C					-1.5617468917511501	
YHL021C						1.3395693026604798
YHL035C						-2.01254284034338
YHL040C						-2.5986650240110194
YHR032W-A		-1.56040479111436	-1.710749466288045			-1.56482777776686
YHR033W					1.35588507606467	
YHR043C		1.8561225924757299	1.7870150872469899	1.90593637590575		1.7965837077141151
YHR044C						1.282170007770565
YHR092C		6.936678520686256	7.122877970123275	7.006852445366105	6.44266076634403	6.377224061853969
YHR094C		-1.5697885202024051	-2.02955744941941	-2.2230179020246004	-2.72864645683395	-2.80653863604154
YHR175W						-1.2069385803009949
YHR216W		-1.94934981156758	-1.99518965986883	-1.5293870054782102	-1.43266825628974	
YIL002W-A			-1.11221696625168			
YIL011W						1.752025645155995
YIL015W						-1.3812597069123398
YIL020C-A		-1.20701428367156	-1.3628140524207	-1.165008333093105	-1.1982644785215602	-1.111828292229065
YIL122W				1.054899101182555		
YIL156W-B	-1.22186571324369	-1.36536387543706	-1.327509982386795	-1.1856954799599202	-1.429941041849635	-1.08700427644917
YIL162W		3.9787027031572753	4.604615782903865	4.608619518821099	4.690801110866881	3.9834505860901
YIR036C		-1.17243829290651				
YJL009W		-1.10256093849787				
YJL133C-A					-1.323958878254225	
YJL138C	1.220995006609875	1.21420203791744	1.1407554271819298	1.2121293415803098	1.26622271919621	1.342735434956225
YJL153C		1.821318339708635	1.67830414212873			
YJL172W					-1.166181818415145	-1.78813324832671
YJL188C	-1.9515225490786101	-2.363949346390295	-2.441449502708095	-2.1283372402648997	-2.194792916548165	-2.1524275987835
YJL210W						-1.316054395084415
YJR079W						-1.2595291314096149
YJR085C		-1.1178859678501198	-1.13314178989806			
YJR094W-A		-1.1442068398553	-1.2471250520674801			
YJR133W						1.06799145931516
YKL018C-A			-1.0947172960557099			-1.06919647947275
YKL062W		1.1015278907616048	1.39921986508622	2.1996433652277703	1.2189245563026052	2.26636579230775
YKL067W		-1.34490274249336	-1.2230457610555798			
YKL093W		1.4635579207116751	1.377783654647455	1.401299076426425	1.114922644369925	
YKL103C						-1.3263307362737753
YKL109W			1.24454665018389	1.52325986315995	1.3950893685137151	2.030758879519335
YKL113C						1.1646540340488098
YKL141W						1.45983262065304
YKL148C						2.09970606075629
YKL152C		-1.4004697865197548	-1.4226319754856052	-1.15150638798439		
YKL153W		-1.3036143984192299				
YKL163W				1.4700583141262051		
YKL217W			1.1916852277567251	1.42882311712017	1.806183729263545	2.04706200327504
YKL220C						-1.9365925675434301
YKR039W					-1.6221885633638249	
YKR058W		1.61443012586243	1.44036893518813	1.5493152160906751		1.4895979195439852
YKR075C		4.9955272712659	4.1091953673372394	2.82790265091473	1.8802806408263302	4.736775244972145
YKR076W		1.28385321302425		1.1925781151393648		
YKR091W				1.310129937085725		
YKR098C		2.500074274837575	2.2340027618199896	1.9315751779367898	1.3617041603183102	1.0918099722033299
YLL026W				1.369115795006155		
YLL028W						-1.6444502214119248
YLL041C						1.724849218153905
YLL052C					-1.6000263126185952	-2.78605897574106
YLL053C			-1.179386121155885	-1.575052096264895	-1.9511194853609002	-3.0061631276963947
YLL061W		1.579819425807175	1.422627156279315	1.179397588525845	1.1928992529038451	
YLR034C						-1.6784764333086701
YLR068W						1.116373345291475
YLR089C		1.134576041935945	1.141890715849855	1.1625746573370002		
YLR099W-A	-1.11210238349653	-1.102059669108935	-1.352123482404835	-1.15012423811355	-1.554306353252445	-1.20684401392292
YLR121C				1.2288588582146		
YLR177W						1.130774862562025
YLR179C					-1.0927072638115698	-1.1540014425400749
YLR198C		-1.74341264422241	-1.67618944132701	-1.6045579265038752	-1.9793137979434001	-1.7544466872499698
YLR205C						-2.550587723591725
YLR214W						-1.4280128732772601
YLR222C-A						-1.1175181810371
YLR237W						-1.67525434795982
YLR257W						1.5518265030938199
YLR262C-A			-1.1823381154787351		-1.134962290443055	
YLR264W		-1.34234885388462	-1.57579921673881	-1.4352134691976448	-1.307252486704885	-1.41929196705146
YLR273C		1.3777198522217602	1.1847243179389952			
YLR300W						-1.057180498322605
YLR327C						2.649729978192915
YLR345W				1.45432717105004		
YML091C		1.7307801417732902	1.78181570067574	1.385774895870425	1.46907212898783	1.588618281794695
YMR003W						1.138327403305225
YMR011W		3.8942620492634497	3.40813274470534	2.531513148955725	2.7133678606591602	3.8146470206335445
YMR015C						-1.3179890411448052
YMR058W						-2.3819836191313803
YMR081C		2.078207123772425	2.3304698442162097	3.2964776267110754	2.547407896860185	4.659777968793559
YMR094W						-1.19564355248517
YMR095C						-1.5367829025780197
YMR096W						-1.5529168178166752
YMR103C				2.237194162862865		1.465749995512275
YMR104C		1.5875798845587847	1.5032821570601902	2.580625848787815		2.5874514666548496
YMR136W						1.7554492295185953
YMR181C			1.1602744573664001	1.210410170211705		
YMR189W						-1.7052007672888148
YMR251W						-1.525756867812725
YMR251W-A					-1.6567803120010651	
YMR316W						1.233111756845485
YNL024C-A			-1.0938210045178298			
YNL065W						-1.563847920493265
YNL077W						1.3211616836524849
YNL138W-A			-1.17476427646139			
YNL142W					-1.5346170329194448	
YNL144C		3.40137824646461	3.1364335017342704	3.2607795280190155	1.994785764003925	4.06666812023642
YNL170W		-1.43920450597362		-1.603812555114335	-1.3014894945596351	
YNL237W						-1.702899381108025
YNL303W			1.0979107647448199	1.14676042830195		1.1663638338129148
YNR034W-A						2.8518110877982803
YNR060W						-1.1543219293562852
YOL016C						1.3500336712182999
YOL026C			-1.040158185472635			
YOL053W						1.36797694507906
YOL086C		-1.12380085207646	-1.231858841574955			
YOL086W-A	-1.284307461566745	-1.155829788473495			-1.31671115667617	
YOL110W		-1.097504571639015				-1.26539040233966
YOL136C		1.08495968294273	1.2435310964674602	1.334482343868685	1.4052403230068848	1.153939820359585
YOL151W				-1.22185475720078		-1.31889538286811
YOL154W			-1.5429589647488848			
YOL158C						-2.61275597488203
YOR009W						1.9687976520492998
YOR045W	-1.393825950778575	-1.30807627611025	-1.44437310824985	-1.21623913179134	-1.185652696676825	
YOR176W						1.41999247861889
YOR178C						1.2274042833862548
YOR185C					-1.37823182504005	-1.396767512829345
YOR220W						1.26829334193752
YOR306C						-1.04184114761297
YOR356W						1.271471448578005
YOR385W				1.229169191166665		1.45629102178565
YPL014W						2.3469086957157947
