	Tneg1	T45	T60	T90	T180	T300	Galactose.minusLys	Galactose.plusLys
YFL017C					-1.090199020047125			
YFL017W-A		-1.06915267597536	-1.2966420864516852		-1.0854352575659199			
YFL021W		1.3305986583479452	1.298684683449	1.1196798549032252				
YFL028C						-1.2628650194380548		
YFL031W								1.1406072112749
YFL054C							4.271437891945089	3.334486603186675
YFR005C								1.170405170957725
YFR022W							-1.292860509161045	
YFR030W			1.4438807723256302		1.5618337938866502			
YFR031C								1.12176988723879
YFR032C-A	-1.372700762981605	-1.2472501298530951	-1.6236193522268052		-2.147142554079985			
YFR053C			1.31403444751328		1.83587401615054			
YGL001C								1.135041764307905
YGL009C						-1.792748979192735	1.08464438287715	
YGL016W								1.154990215799375
YGL030W					-1.1022221021745802		1.1313238834843151	
YGL031C					-1.1818348387225202		1.203308904313015	
YGL032C	-1.4601354936972202					-1.640069170436795	-1.1638513022626902	-1.6365932955856302
YGL035C							2.73178108587332	1.237639820489055
YGL037C			1.288919270345255					
YGL039W								1.578194183133275
YGL045W			1.326644803352275		1.636933916618165			
YGL047W		-1.2879463373061948			-1.129315517509475			
YGL059W						-1.642755099152505		
YGL062W			1.1775685712468		1.11514061419064			
YGL070C			-1.09398446518029		-1.118175635786975			
YGL076C							1.0899079649842751	
YGL108C	-1.111004258995695							
YGL117W	1.19211152946768					-2.3335567967885398		
YGL121C					1.469216629217255			
YGL125W	1.290084822688765				1.2572316218964747			
YGL126W					-1.2505808683537851			
YGL147C					-1.2404454551458048			
YGL153W						-1.4075492414075998		
YGL156W					1.46048132787584			
YGL162W						-1.21837433371106	-1.39070233255521	
YGL166W	-1.2160238263164698		-1.6349931759718999		-1.97279299193344	-1.9074304925983199		
YGL178W					1.52788838460605			
YGL179C								1.43968216662791
YGL180W					1.368748795938365	-1.17484131891474		
YGL184C						-1.7893609964449348		
YGL189C							1.06374779205411	
YGL197W					1.20153060634737			
YGL209W	2.890229253361385							2.766901641889225
YGL215W					1.2715748174679748			
YGL253W	1.1633585232896901						1.6838605217073699	2.2294107305589446
YGL255W	1.99275741200465		2.18895796032177					
YGR023W					1.7515242162000497			
YGR027C							1.24517011593211	
YGR029W						-1.266835342285825		
YGR032W			1.50608273676567	1.2286264209953102	1.9497653846091851			
YGR034W					-1.15262938533504			
YGR063C					-1.3457403952183449			
YGR066C							-1.1246826890213497	
YGR074W					-1.249125482206285	-1.11673867327415		
YGR085C							1.26550384276581	
YGR088W								-2.7384441446096544
YGR090W						1.0360761425306602	1.1710582377003251	
YGR096W						-1.08754518483769		
YGR097W		1.138371162002255	1.0672810432467599		1.28496462171184			
YGR105W					-1.05631888928094			
YGR110W						-1.3595169236939		
YGR120C								1.234119115307585
YGR138C	1.2852291335126251							1.90434632179769
YGR140W								1.37335493166311
YGR143W								-1.2429610678269252
YGR154C								-1.17812492432908
YGR157W						1.11248735088515		
YGR161C	1.604380951566415							
YGR174C		-1.44766475682245	-1.2253057659166249					-1.1493836719198551
YGR180C								-1.2585037962669898
YGR189C					1.1359302446265			
YGR192C								-1.913875437349235
YGR194C							-1.106568990434135	
YGR201C								-1.100566990559585
YGR209C								-1.125086562678315
YGR214W							1.2858892613786201	
YGR230W	-1.05682714939479					-1.2556244216093901		
YGR233C					1.06210808103303			
YGR234W						1.21493489469118		
YGR239C								1.8615635982155
YGR254W								-2.22368770888679
YGR266W							-1.032592927114845	
YGR271W					1.05370911322379			
YGR280C								-1.34556670436085
YGR287C								1.15247165998082
YHL006C						-1.3513104550096648		
YHL015W							1.318280790415635	
YHL016C		1.7350441323118448	1.967973462438775	1.4250830719337149	1.7407350717948797			
YHL021C					1.458872616694155		-1.3300339610452148	
YHL028W							-1.26874625582271	
YHL033C							1.6903860774237651	
YHL044W						-1.09597260032686		
YHL047C						-1.4955383405912748		1.689127804890055
YHR010W					-1.3845995761173602		1.0870696311185801	
YHR015W							1.16934788294212	
YHR018C						-1.1206529236373801		
YHR021C			-1.12347603963794		-1.633500434903675			
YHR029C						-2.14885834264342		
YHR056C					1.04372360916389			
YHR063C								1.170402204754065
YHR072W-A			-1.2551188838381049		-1.5208105224926103			
YHR085W								1.3155961847437
YHR089C					-1.2398311359268699			
YHR092C	2.12426336248083		1.253291702768545	1.280709598932825	1.81919348974897	1.1984821857902	6.43150496264206	6.9598265461940905
YHR094C	2.24700292300749	-2.5800401450010253	-2.7024978022502797	-2.555099250108735	-1.9792032856264352	-1.7011455784567002	4.29904111353701	6.2022188667787805
YHR096C					1.48834386100927			
YHR099W							1.028486526555445	
YHR122W						-1.220600818927375		
YHR141C							1.1380400099238899	
YHR154W						1.237328766527185		
YHR155W					1.203668009449775			
YHR162W						-1.2826652962996552		
YHR174W								-1.878146395994965
YHR180W						-1.423861502789705		
YHR191C					-1.32382923059459			
YHR203C							1.16414063530198	
YHR208W						-1.4106528601532848	1.49857186292838	
YHR211W	1.2004468622491098				1.412988876939985	1.062161717847815		
YIL002W-A	-1.16671172626599		-1.03020069224541		-1.2288546521561101	-1.09009018000334		
YIL015W	-1.204964753214575						-1.752755051221755	-1.0786223829665251
YIL018W					-1.07684347336064		1.26110169611797	
YIL020C-A					-1.2661043883987801			
YIL021W					-1.057196525003055			
YIL026C					1.0686653629124252			
YIL031W					1.04527486853089			
YIL053W								-1.1886436908656801
YIL064W			-1.0413361693241598		-1.3266181752608701			
YIL069C							1.30924469134116	
YIL087C								-1.5952838204895199
YIL101C								-1.22128950948288
YIL107C					1.2599152925894899			
YIL111W						-1.08628642055473		
YIL116W						-1.1277525990421151		
YIL117C					1.229696998702785			
YIL121W						-1.622301670312655		1.0711505939458101
YIL124W								-1.01979742221673
YIL125W					1.0896643529725152			
YIL133C							1.36695810158407	
YIL140W					1.1665436780597598			
YIL146C					1.2372465032024151			
YIL156W-B	-1.13934061716029	-1.240584859496225	-1.22999984328264		-1.4207083983502948	-1.2140569263711698		
YIL160C							1.35924391713378	-2.07045105468696
YIL162W							2.004238444340995	1.79588787798967
YIL164C						-2.464566692825405		
YIL165C						-2.348043512378595		
YIL169C								-1.07689864311851
YIR005W						-1.39172560938517		
YIR009W			-1.150135173380915					
YIR016W								-1.07276863385643
YIR019C	1.50647135193045			1.161374797967415	1.079380041422365			
YIR027C						-1.3164909238081801		
YIR036C								-1.1240817879906149
YIR037W								-1.45198621173624
YIR038C			1.35684211233879					-2.0824811956613
YJL005W					1.1328777726013999			
YJL006C								1.256471839183245
YJL011C								1.44614071396211
YJL026W						1.122187306883335		-1.9144329905944049
YJL035C					-1.84388729923936			
YJL052W					1.859132100705785			-2.1787866711708803
YJL056C			1.8109323928480698					
YJL058C								1.1906717660750998
YJL071W						-1.235051783120285		
YJL072C						-1.568636967125195		
YJL074C						1.18837987318171		1.307399522236805
YJL079C							-1.05384268949981	-1.026578949949665
YJL084C					1.44081216431564			
YJL088W	1.3401972395764					-1.5514004553958252		
YJL089W			1.4359230473197448	1.2202176878836402	1.78961849463583			
YJL103C					1.4237027193196599			
YJL107C								1.4367514692488998
YJL127C-B						-1.089782945111905		
YJL130C		1.697534544894315						
YJL132W			1.242606392371385					
YJL133C-A							2.08398806663225	
YJL136C					-1.111931348357925		1.0984774732168652	
YJL138C						1.086857524186215		
YJL143W					-1.045190493602935			
YJL151C	-1.33909500760435		-1.1754275012912352	-1.08364042024693	-1.2835324528276102	-1.183986173341445		
YJL153C						1.6612669241922098	-1.25349538490994	
YJL159W					1.0907073003560352			
YJL163C								-1.345293644659875
YJL164C								-1.20437769377543
YJL171C					1.334786460154635			1.082822725417905
YJL172W			1.1290188311710851		1.436556134062465			
YJL177W							1.26592955743213	
YJL187C					1.03496128814032	1.098200372526485		
YJL188C	-1.5447045963054902	-1.72404394751741	-1.6933181537662998	-1.460730730945725	-2.1518920795073	-1.62178460647385		
YJL190C							1.1317099246379403	
YJL205C					-1.191069374728925			
YJL213W						-1.4865682926074202		
YJL217W							1.566196456114735	
YJR009C								-1.64244184443538
YJR016C						-1.2931249592452652		
YJR030C							-1.0832699872310099	
YJR043C								1.1762054598775
YJR058C						-1.07864858033719		
YJR061W					1.56996814995387	1.271451059542255		
YJR073C								-1.55425708587366
YJR085C	-1.078361375853555				-1.19492592937462			
YJR091C					1.0587759277132651			
YJR094W-A					-1.562737926373945		1.4092662191359049	
YJR109C	1.40783031107906							
YJR111C						-1.5342044607628398		
YJR112W						-1.1917266609075652		
YJR112W-A					-1.3825280805105749	-1.22793685102104		
YJR123W							1.22060997128361	
YJR130C						-1.63204824829453		
YJR137C					1.872118129376545			
YJR138W					1.03961945235749			
YJR145C							1.40851514647692	
YJR149W					1.22874380535584			
YJR151C	1.171936194289525		1.1192498155230002	1.08635132577519	1.22206733468963			
YKL009W					-1.06681129830729			
YKL018C-A	-1.4285850398404647	-1.243106630100475	-1.252819351045865		-1.11289478021688			
YKL023C-A	-1.155664538382005		-1.24964705177267		-1.148618440202525			
YKL029C						-1.3897069621379399	1.559000694008745	
YKL033W-A						-1.302931532450385		
YKL050C								-2.0131605905557803
YKL058W					-1.11490356107031			
YKL060C								-1.7702293146831498
YKL062W					1.124526828930835			
YKL096W-A								-1.6268880255465699
YKL101W					1.06319348298323	1.2899859365704849		
YKL103C					1.081770439671545			
YKL120W						-1.98317189334872	1.2825486058907951	
YKL121W					1.076277974199955	-1.17940536409525		
YKL148C						1.568143963761035		
YKL151C								-1.46145879575976
YKL152C					-1.03983959955307			-2.598348936221285
YKL153W		1.602867412073175	1.23270270633353					-1.799750894092445
YKL156W					-1.265959579270415			
YKL161C					1.3357692895623048			
YKL163W								-1.13424115239895
YKL165C			1.1045738394418598					
YKL175W			1.22995895849871					
YKL180W							1.1198365887470798	
YKL182W			1.071449491012805			1.2774828746955302		
YKL216W	-1.135203699019895				-1.44854968998195		-2.10716251407108	
YKL217W					1.4417859433255553			
YKL218C						-1.8700921380212852		
YKR015C					1.10088844688239			
YKR027W								1.30146566045078
YKR039W		1.807459322559015	1.724419608018395	1.3669052117006	1.0934594231691652			
YKR052C							-1.206264775500755	
YKR054C					1.0810550209755698			
YKR057W					-1.5005204952610551			
YKR069W						-1.6357377203037249		
YKR075C	2.2014243591313	-1.146397348610365					3.8075780926011804	3.2250712346863297
YKR076W								-1.4373205021547901
YKR077W						1.22712913173193		
YKR091W			1.36449439760549		1.62819045429285			
YKR093W		-1.3141362052555299						1.4356622784137651
YKR096W					1.21251990531397			
YKR097W						-1.31790309860599		
YKR098C		-1.1656938552997351						1.69252261652849
YKR099W								1.1328353686061199
YKR102W				1.2050912550706	1.0954538405895349			
YLL004W								1.68320812645167
YLL013C					1.2320555395814798			
YLL019C					1.1039684361625999			
YLL024C								1.67415428436974
YLL026W			1.261879668870045					
YLL034C							1.38490127568592	
YLL039C			1.537599209107		1.205010823546865			
YLL040C					1.123433609686245			
YLL045C							1.0893213418285201	
YLL052C					1.265026405902315			
YLL053C					1.39415994685815			
YLL054C					1.043997859064585			
YLL057C								-1.8083125705893799
YLR040C		-1.137510195104545				-1.178649940210935		
YLR044C								-2.14871574066634
YLR048W							1.5027102960506697	
YLR070C								-1.4707054922413252
YLR075W			-1.30371413277968	-1.1189243717377901	-1.70125162223841			-1.195043382290535
YLR081W							1.35729395840884	
YLR087C					1.166454240415365			
YLR089C					1.12425673115444			
YLR104W					-1.2315413670161701			
YLR108C							1.34934891843244	1.6277101263751899
YLR109W							1.208109360110375	
YLR132C							-1.2970907264169	
YLR134W		1.9626974128703298	1.2350760243709749					
YLR136C								1.40510611926065
YLR146W-A	-1.320374037195565				-1.34803904003837			
YLR147C			-1.1005911009892602		-1.180801955273325			
YLR153C								1.4902732630352649
YLR167W					-1.361278252767275		1.040506848316435	
YLR168C								1.12839646125415
YLR178C								-1.48615833229799
YLR183C						1.20158245224689		
YLR185W							1.1427065025418353	
YLR187W					1.11087827194074			
YLR204W					-1.04980173105767			
YLR205C								1.157272506632955
YLR214W								1.0635356203734498
YLR224W							1.17648310039216	
YLR230W					-1.114275536594165			
YLR262C-A					-1.44419281311598			
YLR264C-A							1.372549406399725	
YLR264W	-1.2145662736403051				-1.6330676152327652		1.5155660239331499	
YLR284C							1.28294719772421	-1.1563002805809948
YLR285C-A				1.099412336073095				-1.1972260010947648
YLR304C			1.098143224599535		1.1112163337921852			
YLR315W					-1.11525683055332			
YLR325C					-1.3659325973944498		1.464826370429035	
YLR328W							-1.028627164333415	
YLR340W							1.2845235192892699	
YLR342W					1.273975330470635			
YLR342W-A	1.4092301089025798	1.4299303884912402	1.5831464739857948	1.8607043041347548	1.4437879977122252	1.59189675171937		
YLR356W								-1.3412013547674149
YLR388W					-1.2818730043147901			
YLR406C					-1.145404954686275		1.266495941836395	
YLR420W					-1.0456562970599			
YLR422W					1.15745048060661			
YLR438C-A			-1.1607754925001852		-1.18070241111342			
YLR438W					1.1935409647680402			-1.14565325275953
YLR441C							1.250916742990845	
YLR448W							1.45392519811325	
YLR454W					1.099210958423865			
YML009C			-1.2639434914210002					
YML024W					-1.3199808874674699		1.1792127939074502	
YML026C					-1.24527657189322		1.2875258595208	
YML027W					1.096096592034645	1.37439441493412		
YML038C								1.46558242541068
YML043C								1.0941276135873599
YML054C							1.1176095283746	
YML063W							1.5986092655710549	
YML073C							1.243909266845705	
YML091C					1.059091489407915	1.2820626774846902		
YML100W			1.19890621089677	1.4459984714074952	1.472223118828905			
YML123C	1.85342545201389	2.059791245378975	2.21803929456673	2.2692182155043503	2.459531216094705			
YML128C			1.739290536462		1.4418766709859998			
YML129C	-1.57820166387733	-1.1249545867018749	-1.143131886870075		-1.211121831062945	-1.161699835411285		
YML131W					1.11091402916269	1.18224253055054		
YMR009W						-1.200062357065415		
YMR011W	2.34910438163041						3.6215436420344447	3.34545873440252
YMR012W						1.11153979378092		
YMR013C								1.09909157063202
YMR042W						-1.1187930834083		
YMR056C								-1.04440209151189
YMR058W								1.5021975813400799
YMR059W					-1.192831231657055	-1.327749075387485		
YMR071C						-1.18293795950101		
YMR074C					-1.18006927341409			
YMR076C	1.1369547321886149				1.034602728978665	1.55766871578507		
YMR090W								-1.244244107651465
YMR094W		1.1209853812108	1.0938709306908398	1.1204510653043				
YMR096W		1.08248579168878						
YMR097C		1.0942597485143302	1.27453813857742	1.3056248059838502				
YMR102C		1.2247096868469651						1.38397757927785
YMR105C					1.31834240183188		-1.03018514171415	
YMR108W						-1.1435795370587851		
YMR112C					-1.21557336523461			
YMR116C							1.067126503461195	
YMR118C								-2.2794455536417852
YMR134W								1.58370423928993
YMR136W		1.2776877711255201				-1.1270838071975402		
YMR141C			1.0834169806187002					
YMR142C							1.230964540611145	
YMR143W							1.3527372946301002	
YMR145C								1.421571306847425
YMR169C								-1.4217964607968998
YMR170C			1.1945943214277					-1.2549502463742401
YMR173W-A				1.231548746826535	1.5559013166292348			
YMR177W								1.18806825146099
YMR179W						1.143869593175895		
YMR181C					1.07918777013621			
YMR182C								-1.1450494130761202
YMR183C							1.1475577544267201	
YMR184W					-1.13274117715179			
YMR195W						-1.2910196018896252		
YMR196W					1.13998831926098			
YMR199W					1.06718599123273	1.4495269670663051		
YMR215W								1.1601225065409801
YMR230W							1.08597536928078	
YMR242C							1.13793277163791	
YMR245W			-1.217200726267695		-1.6053172671929			
YMR250W								-1.77264961360787
YMR251W-A						-1.1698868098198152		
YMR253C						-1.1437388603020748		
YMR256C	-1.167108279395135							
YMR263W					-1.081464911420465			
YMR264W					-1.079050115889395			
YMR269W							1.07936268672995	
YMR271C								-1.21673118922557
YMR274C							-1.21492159161953	1.336760314071425
YMR280C					1.321152660027415			
YMR303C							2.5986879706956802	
YMR304W			1.1234643797571		1.243285730364305			
YMR307W								1.169411007440265
YMR319C						-1.2930448962670202		
YNL009W							1.4372508368634649	-1.234789962095845
YNL024C-A			-1.082396500791925		-1.24638460609795	-1.142515336439065		
YNL029C								1.2614032898774048
YNL037C								1.490004394360835
YNL065W	-1.320101808740255						1.8842666759041249	2.02707424497297
YNL066W								1.1813188573421551
YNL067W							1.18587525619174	
YNL069C							1.25366658610759	
YNL102W								1.119421389183965
YNL115C								-1.22395088216182
YNL117W			1.5050495081197601					1.22131861205234
YNL129W								1.2875034209259453
YNL138W-A			-1.1727303259730801		-1.6131976862206252	-1.1335404872423052		
YNL142W			1.151327029148165					1.853618916952495
YNL145W	-1.561756081040845						-1.2601329567910602	-1.53073522146892
YNL162W							1.070282306099255	
YNL178W							1.1271566223093852	
YNL183C			1.161023241143265	1.0638237954589649	1.1234231857845351			
YNL190W					1.798055644182445			
YNL192W		1.367091874223585	1.1348618838318851		1.24831999341737			
YNL200C								-1.378133658156015
YNL202W							1.26414259901927	-1.44004343327143
YNL233W								1.1659339907008253
YNL234W							1.912692594985605	2.8598803865931
YNL244C					-1.068173387998945			
YNL254C			1.19653502542704					
YNL262W						1.219389659273635		
YNL270C	-1.10037129542624							
YNL278W							1.03898240462862	
YNL282W					-1.0118449535472451			
YNL289W						1.03327487323005		
YNL297C					1.081308396953065			
YNL302C					-1.3009166887966401		1.170766283402525	
YNL320W								1.27132564251034
YNL336W			1.125992616159485					
YNR001C								1.1336406000833799
YNR002C							1.04487134522508	
YNR016C						1.16495906152718		
YNR024W			-1.1247757698940597		-1.0879879363535752			
YNR034W-A								-1.3498097165901
YNR060W		1.183841178915815	1.1289588586617452					
YNR062C							1.12759387712806	
YNR065C					1.3927686114600202			
YNR067C			1.1278591657444652		1.47389359961221			-1.0868788600521397
YNR068C			1.3947667121543401	1.641045351028185	1.223873665250105	-1.310975819608495		
YNR069C						-1.895325057854875		
YOL016C						-1.0945396232564102		
YOL039W					-1.074141846617005		1.235101881487985	
YOL040C					-1.092377783358235		1.081114174826425	
YOL058W	1.434396094442215							
YOL064C						-1.3381053963326401		
YOL077W-A	-1.14620789368007							
YOL081W			1.136763900970815		1.4181399348427148			
YOL082W			1.170975794580675					
YOL083W								-1.15910640340889
YOL086C								-1.3122160052473
YOL086W-A		-1.1783097237372901			-1.3963488648105251			
YOL090W								1.1827739746185948
YOL091W						-1.360555591736095		
YOL101C								1.33194674978686
YOL109W	-1.404265556461525		-1.071763631392705		-1.31399708343384	-1.21894398027904	1.2782582081154952	
YOL110W						-1.0943883693039549		
