	Tneg1	T45	T60	T90	T180	T300
YNL190W			1.1781048029600498	1.2957672979296948	1.43925507975765	
YNL208W					-1.19380017361552	
YNL237W						-1.25124425242147
YNL303W	1.738629350057975	1.42364336666741	1.7076240891975702		1.448065569190665	1.65987177702248
YNR032C-A	-1.05825157128836					
YNR068C				1.1905815978413101		
YOL052C-A						-1.5999815770512251
YOL077W-A			-1.18450719462354		-1.1321093469061698	
YOL086W-A	-1.1520092080968851				-1.4924375679195099	
YOL110W						-1.18040043357884
YOL154W			-1.2997681465917301			
YOR009W		1.2814983001987599			1.070438876249465	1.136987418435625
YOR036W						-1.0822581079825149
YOR045W	-1.233139329183755				-1.3802192441709051	
YOR125C					-1.1340090952188	
YOR133W	1.110474156428555	1.35482660577257	1.2634724783524751		1.41280138587679	1.17124724606597
YOR173W						-1.101944073346465
YOR242C				1.2483163699708748		
YOR276W				-1.18279453582445		
YOR298W				1.15252886905767		
YOR309C	1.2416814893766799		1.094054496838585	1.3673455454554402	1.0432838521073549	
YOR313C					-1.233514066303885	
YPL016W					1.166692407801715	
YPL057C		1.06539857657217	1.193137337869685			
YPL061W		-1.2943516639919999	-1.0545170316408599			
YPL113C						1.163486954910205
YPL134C		1.22924184920597	1.07208421360642			1.3464768339467352
YPL137C					1.0737547053926448	
YPL142C	1.5345693201937252	1.9938617225804198	1.95244311251686	2.5536034086611252	2.1943819713396353	2.16336775148136
YPL170W					-1.10919517714495	
YPL192C		1.03756037602123				
YPL197C		-1.13443413288352			-1.366648105407345	
YPL222W						-1.06881448184147
YPL248C		1.017438170563425				
YPL249C-A			1.06174513825455			
YPL271W		-1.1587680373214702				-1.0725202960535751
YPR001W						1.638990144337475
YPR030W			1.6306011573593948	1.7266874501372098	1.61754598904992	1.637357210644075
YPR065W					1.36578094557331	
YPR156C					1.16158668228892	
YPR157W					1.46200591960929	
