	Tneg1	T45	T60	T90	T180	T300	Galactose.minusLys	Galactose.plusLys
YBR011C		-0.4297662093558715	-0.3670397753387814	-0.335495023349732				-0.37920362543445607
YBR013C		0.553148918247039	0.450375805477367	0.4331209976382775				0.5626452693853695
YBR014C	-0.417941089163099	-0.6452474461433275	-0.559614449789018	-0.6260527142732815	-0.821044096232515			
YBR015C							-0.830036048997599	-0.8794736660869349
YBR016W	-0.531676090659808				-0.44029949679541003		-0.7328215363222677	-0.7466722861310745
YBR019C			0.4396834284296295		0.7946554743965325		0.9424954172026606	1.573524509579015
YBR020W			0.4557270397003885		1.125033520895455		1.27537132264594	2.087702849424695
YBR021W		0.45345661118913705	0.47979012793800246	0.473263345881636	0.474472212611149		0.4582152909755275	
YBR022W	-0.574816208495962				-0.4056630842962845			
YBR023C		0.757516761871375	0.6125194670676655	0.5407617235113336	0.7927056677193565	0.880097879516714		
YBR024W							-0.517309927291996	
YBR025C			0.20826245896754653			0.7549256580145045	0.7579199702518424	
YBR026C		-1.2600108254690547	-0.9616005270531653	-0.739740127730552	-0.4768525847470665		-1.437372587947645	-1.4689172442494152
YBR028C	-0.5946462925769965							
YBR029C			-0.3904101066547805	-0.3856475386296275		1.0610353906904102	0.534857964466609	0.751617347212964
YBR030W			-0.23308033962985003					0.8027121627133735
YBR031W		0.7908925541913496	0.726314117097175	0.8170118537612394	0.5974079370419555		0.7014582977105115	
YBR034C					-0.41390805210257703		1.38626632708776	0.9892477931360826
YBR035C			-0.36400719014257443	-0.5887036012007145	-0.6038861037055989	-1.179798016380615	-0.31733365271971997	
YBR036C							-0.299008310185238	-0.4238074692465825
YBR037C	-1.0407354290407724		-0.4092846302626245	-0.6076263776967896	-0.48220343445331004		-0.6948859213687609	-0.46362470080342555
YBR038W					0.5225896439531295			-0.8195193045299896
YBR039W		-0.7993478615290887	-0.7041410058037846	-0.7087428870662911	-0.589895803694872			0.436882371719449
YBR042C							0.6417506679633405	
YBR043C	-0.7438588263368804		-0.3566665504779605	-0.46424062729851545			-0.37103936821534	-0.6412192607897476
YBR045C					1.2087632122881198	1.90003683813932		-1.052870196416045
YBR046C				-0.490320342558473		-2.5691001754273604	-0.5841009857797915	-1.247729447810325
YBR047W	1.038967420575477	0.8781996722889633				-3.41396735450399	-0.41998896509301553	-0.812770728960433
YBR048W							1.60735828202947	0.502063115697108
YBR049C	-0.5755236025102104						-0.6186487396350664	-0.447256749750262
YBR052C		-0.474113418802409	-0.594569897672272	-0.551329583457261	-0.8272301256798145			0.49948356449287146
YBR053C		-1.026418135894459	-1.113593213597595	-1.0344346588677855	-0.8436918328014705		-0.901077141485616	-0.6057934132748765
YBR054W	-1.27030810107456		-0.5051812710950065	-1.16778541925338		-2.707014825946105	1.6175057031823248	1.22985245660065
