	Tneg1	T45	T60	T90	T180	T300
YBR045C		1.604570641463095	1.4841050762551	1.8760742999670201	2.23606048739659	1.35350930814224
YBR046C				-1.2067176695853101		-2.4448368808458047
YBR047W		-1.4383971685354149		-1.6633334602244698	-2.490880733720875	-3.5449338096957197
YBR053C		1.205059399879135				
YBR054W					1.54388554001546	
YBR056W		1.81381755878488	1.31823267698016	1.7227231198454498	1.05893478992047	
YBR058C-A		-1.1437928722456299	-1.06548930478613		-1.8835089131574803	-1.4040752369161
YBR059C					1.160437542143665	
YBR065C	1.115980927532765					
YBR067C						-1.484901484957355
YBR068C	-1.5115724494813998					
YBR069C				-1.14146391968639	-1.032744231198465	
YBR071W					1.4457857113275452	1.377942288915585
YBR072W		1.29527101320198	1.96136098270122	3.3310510667514306	3.3442130298449797	
YBR073W						1.40646549422037
YBR082C		1.525284091330715	1.14953283675274	1.6749020831634702		
YBR085C-A		1.1186370739236		1.41943961896046		
YBR089C-A					-1.470030896010155	
YBR091C					-1.11936573395512	
YBR092C			-1.196428953012405	-1.0868925756136498		
YBR097W			1.209401469701025			
YBR098W		1.5896171149911948	1.675894320005515	1.315539272561655		
YBR101C		2.11346212977532	1.9285330392948348	2.255528033304075	1.23174681646566	
YBR104W	1.2153360287826551	-1.1186735216378452	-1.21471512047483	-1.310860443415685	-1.7314800838517947	
YBR108W		1.11530033023168	1.4488546596920302		1.6113192043545248	1.1587961612035351
YBR114W	1.30067477724017				1.15518713981501	
YBR117C			1.083911957410745		1.3438582409294502	1.5518243611849551
YBR126C		1.212619716537595	1.1861665174597351			
YBR129C	-1.059619771628005					
YBR136W			1.103257700152025		1.2826212168529598	
YBR140C			1.48352218395341		1.180286632790385	
YBR141C			-1.216061897351775			
YBR143C			-1.0431891882411901			
YBR145W		-1.79564058068835	-1.22843420267087	-2.7628923842150304	-2.55301607307204	-3.0132379056381304
YBR147W		-1.445454882782445		-1.7163362515606102		
YBR148W		1.41672791431267	1.432819481686565	1.250679457628575		
YBR154C			-1.287082346307145		-1.423607474909565	
YBR156C						1.090949346849865
YBR169C		3.8755552875225048	3.4985734408492197	3.79419791444555	3.0583969275908798	1.1306487874650202
